1482582465.52,u
1482582466.01,u
1482582466.06,u
1482582466.12,u
1482582466.16,u
1482582466.22,u
1482582466.26,u
1482582466.32,u
1482582466.37,u
1482582466.42,u
1482582466.47,u
1482582466.51,u
1482582466.56,u
1482582466.62,u
1482582466.67,u
1482582466.72,u
1482582466.77,u
1482582466.81,u
1482582467.38,u
1482582468.57,u
1482582469.07,u
1482582469.11,u
1482582469.16,u
1482582469.21,u
1482582470.08,r
1482582470.58,r
1482582470.63,r
1482582470.69,r
1482582470.73,r
1482582470.78,r
1482582470.83,r
1482582470.88,r
1482582470.94,r
1482582470.99,r
1482582471.06,r
1482582471.08,r
1482582471.56,s
1482582473.06,l
1482582473.57,l
1482582473.61,l
1482582473.66,l
1482582473.76,l
1482582473.76,l
1482582473.82,l
1482582473.86,l
1482582473.91,l
1482582473.96,l
1482582474.19,s
1482582474.78,l
1482582475.27,l
1482582475.34,l
1482582475.38,l
1482582475.43,l
1482582475.52,l
1482582475.54,l
1482582475.61,l
1482582475.63,l
1482582477.94,l
1482582478.72,s
1482582479.18,l
1482582479.68,l
1482582479.73,l
1482582479.81,l
1482582479.83,l
1482582479.89,l
1482582479.93,l
1482582479.98,l
1482582480.23,s
1482582480.51,l
1482582481.01,l
1482582481.06,l
1482582481.21,r
1482582481.69,r
1482582482.25,r
1482582483.94,l
1482582484.45,l
1482582484.49,l
1482582484.54,l
1482582484.60,l
1482582484.64,l
1482582484.70,l
1482582484.74,l
1482582484.80,l
1482582484.84,l
1482582484.90,l
1482582484.95,l
1482582485.01,l
1482582485.06,l
1482582485.10,l
1482582485.69,s
1482582486.76,r
1482582487.27,r
1482582487.33,r
1482582487.36,r
1482582487.42,r
1482582487.48,r
1482582488.68,s
1482582490.19,l
1482582490.69,l
1482582490.74,l
1482582490.79,l
1482582490.85,l
1482582490.89,l
1482582490.94,l
1482582490.99,l
1482582491.05,l
1482582491.09,l
1482582491.14,l
1482582491.19,l
1482582491.24,l
1482582491.29,l
1482582491.34,l
1482582491.40,l
1482582491.44,l
1482582492.14,s
1482582492.76,l
1482582493.27,l
1482582493.32,l
1482582493.37,l
1482582493.42,l
1482582493.46,l
1482582493.52,l
1482582494.12,l
1482582494.51,s
1482582495.54,r
1482582496.27,s
1482582497.34,l
1482582497.83,l
1482582497.88,l
1482582497.93,l
1482582497.98,l
1482582498.03,l
1482582498.16,l
1482582498.17,l
1482582498.18,l
1482582498.22,l
1482582498.27,l
1482582498.36,l
1482582499.46,s
1482582500.26,l
1482582500.75,l
1482582500.79,l
1482582500.85,l
1482582500.90,l
1482582500.96,l
1482582501.00,l
1482582501.06,l
1482582501.09,l
1482582501.24,l
1482582501.94,s
1482582502.29,r
1482582502.78,r
1482582502.82,r
1482582502.89,r
1482582502.93,r
1482582502.97,r
1482582503.03,r
1482582503.09,r
1482582503.13,r
1482582503.19,r
1482582503.23,r
1482582503.96,s
1482582504.41,r
1482582506.12,s
1482582506.45,l
1482582506.94,l
1482582506.99,l
1482582507.04,l
1482582507.10,l
1482582507.14,l
1482582507.21,l
1482582507.25,l
1482582507.29,l
1482582507.34,l
1482582507.39,l
1482582507.45,l
1482582507.49,l
1482582508.00,s
1482582508.86,l
1482582509.35,l
1482582509.40,l
1482582509.46,l
1482582509.51,l
1482582509.55,l
1482582509.61,l
1482582509.66,l
1482582509.72,l
1482582509.76,l
1482582510.99,l
1482582511.61,s
1482582511.99,l
1482582512.49,l
1482582512.53,l
1482582512.59,l
1482582512.63,l
1482582512.69,l
1482582512.74,l
1482582512.79,l
1482582512.84,l
1482582512.89,l
1482582512.94,l
1482582513.29,s
1482582513.50,r
1482582514.01,r
1482582514.06,r
1482582514.13,r
1482582514.73,l
1482582515.20,l
1482582515.26,l
1482582515.30,l
1482582515.36,l
1482582515.42,l
1482582515.46,l
1482582515.51,l
1482582515.56,l
1482582515.61,l
1482582515.66,l
1482582515.71,l
1482582515.76,l
1482582515.82,l
1482582515.87,l
1482582515.92,l
1482582516.13,s
1482582516.56,l
1482582517.07,l
1482582517.12,l
1482582517.17,l
1482582517.22,l
1482582517.27,l
1482582517.32,l
1482582517.37,l
1482582517.42,l
1482582517.47,l
1482582517.96,s
1482582518.45,l
1482582518.96,l
1482582519.00,l
1482582519.05,l
1482582519.09,l
1482582519.15,l
1482582519.20,l
1482582519.25,l
1482582520.14,s
1482582520.99,r
1482582521.50,r
1482582521.56,r
1482582521.59,r
1482582521.65,r
1482582521.69,r
1482582521.76,r
1482582521.79,r
1482582521.87,r
1482582521.93,r
1482582521.96,r
1482582521.99,r
1482582522.05,r
1482582522.10,r
1482582522.15,r
1482582522.20,r
1482582522.62,s
1482582523.66,l
1482582524.16,l
1482582524.21,l
1482582524.26,l
1482582524.31,l
1482582524.36,l
1482582524.41,l
1482582524.46,l
1482582524.51,l
1482582524.56,l
1482582524.62,l
1482582524.67,l
1482582524.73,l
1482582525.94,s
1482582526.35,l
1482582526.85,l
1482582526.89,l
1482582526.95,l
1482582526.99,l
1482582527.05,l
1482582527.12,l
1482582527.14,l
1482582528.03,s
1482582531.23,l
1482582531.72,l
1482582531.78,l
1482582531.82,l
1482582531.88,l
1482582531.92,l
1482582531.98,l
1482582532.02,l
1482582532.08,l
1482582532.12,l
1482582534.15,s
1482582535.85,h
